name,id,sub1,sub2,sub3,marks,percentage,result,course_enrollment_date,study_hrs_per_day,age,grade,random_color,device_id
     SURESH AGARWAL     ,     id_279    ,   84   ,   150   ,   78   ,   198   ,   66.0   ,   Pass   ,   10/01/2021   ,   0.4   ,   16.5   ,   B+   ,   red   ,   E5F13D0B   
      prasad varma      ,     id_280    ,   138   ,   33   ,   -24   ,   138+33+-24   ,   44.67   ,   Pass   ,   02/04/2022   ,   2.6   ,   11   ,   None   ,   yellow   ,   D720CB13   
      suresh naidu      ,    STU-0281    ,   58   ,   35   ,   AB   ,   58+35+AB   ,   61.0   ,   Pass   ,   22/10/2023   ,   -3.5   ,   17.5   ,   B   ,   multi   ,   A62B1C37   
     SNEHA GOUD     ,       282        ,   47   ,   87   ,   78   ,   47+87+78   ,   70.67%   ,   Pass   ,   06/06/2018   ,   None   ,   17   ,   None   ,   white   ,   8642FA2D   
     Pooja Goud      ,       283        ,   94   ,   51   ,   75   ,   94+51+75   ,   73.33   ,   Pass   ,   05-Jan-2020   ,   7.7   ,   16   ,   B+   ,   green   ,   6603565B   
     AKASH RAO     ,     id_284    ,   41   ,   55   ,   91   ,   41+55+91   ,   62.33   ,   Pass   ,   20-Dec-2023   ,   -3.6   ,   19   ,   Good   ,   green   ,   C1D7E80D   
     Sanjana Sharma      ,     00285     ,   91   ,   ?   ,   37   ,   91+?+37   ,   None   ,   Pass   ,   28/11/2021   ,   29.4   ,   65   ,   C   ,   blue   ,   563BA45F   
      vikram gupta      ,   286   ,   70   ,   70   ,   AB   ,   70+70+AB   ,   null   ,   Pass   ,   13-Jul-2019   ,   4.3   ,   16   ,   B   ,   None   ,   FC4E70FE   
      pooja patel      ,     S287X     ,   79   ,   89   ,   49   ,   79+89+49   ,   72.33   ,   Pass   ,   11-25-2023   ,   4.3   ,   16   ,   B   ,   blue   ,   46061F2E   
     VIKRAM VARMA     ,     00288     ,   54   ,   43   ,   68   ,   54+43+68   ,   55.0   ,   Pass   ,   01/05/2024   ,   2.2   ,   None   ,   Average   ,   None   ,   EF557451   
      sneha patel      ,     S289X     ,   -10   ,   41   ,   78   ,   218   ,   72.67   ,   Pass   ,   04-Jun-2018   ,   34.6   ,   19   ,   B+   ,   black   ,   id_missing   
      varun rao      ,     00290     ,   42   ,   41   ,   93   ,   42+41+93   ,   58.67   ,   Pass   ,   09-23-2020   ,   2.3   ,   None   ,   C   ,   blue   ,   None   
     Sanjana Naidu      ,     00291     ,   50   ,   150   ,   91   ,   183   ,   61.0   ,   Pass   ,"   April 13, 2024   ",    0    ,   17   ,   B   ,   blue   ,   None   
     VARUN REDDY     ,       292        ,   AB   ,   ?   ,   83   ,   AB+?+83   ,   121.64   ,   Pass   ,   15/06/2019   ,   None   ,   6   ,   B+   ,   blue   ,   39741D46   
     Rohit Patel      ,   293   ,   49   ,   74   ,   38   ,   49+74+38   ,   53.67   ,   Pass   ,   05-26-2023   ,   7.3   ,   18   ,   None   ,   yellow   ,   EA32DCAD   
     HARIKA KHAN     ,     00294     ,   66   ,   48   ,   None   ,   66+48+None   ,   60.0   ,   Pass   ,   None   ,   1.3   ,   16   ,   None   ,   blue   ,   AC96F032   
     RAHUL KHAN     ,     id_295    ,   97   ,   84   ,   78   ,   259   ,   86.33   ,   Pass   ,   23-Mar-2021   ,   1.8   ,     18 years    ,   Distinction   ,   red   ,   5BBE78F9   
      harika naidu      ,     S296X     ,   85   ,   74   ,   107   ,   check   ,   76.33   ,   Pass   ,   03/06/2018   ,   None   ,   19.5   ,   A   ,   red   ,   E3D83E0B   
     RAHUL RAO     ,       297        ,   138   ,   37   ,   -24   ,   142   ,   None   ,   Pass   ,   02-Apr-2018   ,   5.7   ,   None   ,   D   ,   white   ,   BE969873   
     DEVIKA PATEL     ,     S298X     ,   92   ,   ?   ,   50   ,   92+?+50   ,   null   ,   Pass   ,   13-Jul-2024   ,   0.8   ,   18   ,   B+   ,      ,   59366911   
     Varun Agarwal      ,   None   ,   AB   ,   84   ,   80   ,   AB+84+80   ,   87.0   ,   Pass   ,   2022-02-12   ,   2.5   ,   19.5   ,   A    ,   yellow   ,   3ABB494D   
     SANJANA KHAN     ,     id_300    ,   96   ,   61   ,   107   ,   96+61+107   ,   81.67   ,   Pass   ,   13/09/2022   ,   7.7   ,   16   ,   A    ,   white   ,   F92A7DB4   
     Pooja Naidu      ,     00301     ,   56   ,   80   ,   68   ,   56+80+68   ,   68.0   ,   Pass   ,"   November 02, 2024   ",   2.1   ,   16   ,   Good   ,   red   ,   7B81F8E9   
      pooja goud      ,     id_302    ,   92   ,   73   ,   84   ,   92+73+84   ,   83.0%   ,   Pass   ,"   July 10, 2023   ",   2.5   ,   19   ,   Distinction   ,   yellow   ,   481D57DD   
     Varun Naidu      ,   303   ,   92   ,   99   ,   70   ,   92+99+70   ,   87.0   ,   Pass   ,   02-26-2020   ,   None   ,   19   ,   A+   ,   yellow   ,   D3CB8443   
      rahul patel      ,     id_304    ,   83   ,   47   ,   68   ,   83+47+68   ,   66.0   ,   Pass   ,"   September 30, 2018   ",   0.4   ,   61   ,   None   ,   black   ,   62A13198   
      akash patel      ,     00305     ,   AB   ,   51   ,   42   ,   AB+51+42   ,   59.67   ,   Pass   ,   2023-07-21   ,   None   ,   None   ,   C   ,   None   ,   7198ED3A   
      teja naidu      ,     S306X     ,   None   ,   66   ,   -24   ,   235   ,   78.33   ,   Pass   ,   26-Jun-2018   ,   3.0   ,     19 years    ,   A    ,   blue   ,   612204C9   
     VIKRAM KHAN     ,     id_307    ,   49   ,   85   ,   40   ,   174   ,   58.0   ,   Pass   ,   05/10/2019   ,    0    ,   17.5   ,   C   ,   yellow   ,   515AD3F3   
     SANJANA REDDY     ,       308        ,   88   ,   88   ,   48   ,   300/300   ,   133.19   ,   Pass   ,   03-14-2023   ,   2.3   ,   18   ,   Good   ,   black   ,   E2D13F1D   
     HARIKA KHAN     ,       309        ,   94   ,   32   ,   AB   ,   94+32+AB   ,   55.33   ,   Pass   ,   21-Jul-2019   ,   None   ,   16   ,   C   ,   white   ,   5F7ECC3D   
      shiva reddy      ,       310        ,   42   ,   ?   ,   None   ,   174   ,   58.0   ,   Pass   ,   None   ,   2.5   ,   16   ,   Average   ,   black   ,   None   
     Sneha Patel      ,     S311X     ,   138   ,   64   ,   74   ,   N/A   ,   75.0   ,   Pass   ,"   August 24, 2021   ",     0.3 hrs    ,   16   ,   Good   ,   black   ,   6C197256   
     VIKRAM NAIDU     ,    STU-0312    ,   94   ,   90   ,   30   ,   214   ,   71.33   ,   Pass   ,   04-Dec-2022   ,   6.2   ,   18   ,   None   ,   red   ,   E2305A71   
     Teja Reddy      ,       313        ,   39   ,   83   ,   None   ,   39+83+None   ,   63.67   ,   Pass   ,   05/12/2020   ,   3.2   ,     17 years    ,   Good   ,   blue   ,   41FF28EA   
      suresh patel      ,       314        ,   40   ,   92   ,   48   ,   40+92+48   ,   60.0   ,   Pass   ,   07-Jun-2024   ,   3.6   ,   19   ,   C   ,   red   ,   B79D34C6   
     Akash Varma      ,    STU-0315    ,   138   ,   36   ,   90   ,   138+36+90   ,   69.0   ,   Pass   ,"   February 12, 2019   ",   None   ,   19   ,   Good   ,   None   ,   F41580E4   
      lokesh rao      ,     S316X     ,   89   ,   78   ,   41   ,   check   ,   69.33   ,   Pass   ,"   April 27, 2021   ",   5.3   ,   16   ,   B+   ,   green   ,   CC6F437B   
     Akash Patel      ,   None   ,   74   ,   60   ,   90   ,   74+60+90   ,   74.67   ,   Pass   ,   28/01/2023   ,   None   ,   16   ,   B   ,   white   ,   CDFEE4E1   
      suresh patel      ,     00318     ,   86   ,   150   ,   62   ,   86+150+62   ,   78.33   ,   Pass   ,"   February 26, 2021   ",   7.5   ,   18   ,   A   ,   blue   ,   7F390CA5   
     SURESH SHARMA     ,     S319X     ,   50   ,   90   ,   107   ,   50+90+107   ,   71.33   ,   Pass   ,   15/02/2021   ,   1.9   ,   67   ,   B   ,   yellow   ,   495BCBB8   
     PRASAD REDDY     ,       320        ,   47   ,   53   ,   107   ,   missing   ,   66.0   ,   Pass   ,   16-Nov-2024   ,   0.9   ,   49   ,   B+   ,   black   ,   2A06BEC4   
     Sanjana Reddy      ,       321        ,   64   ,   49   ,   37   ,   64+49+37   ,   -22.71%   ,   Pass   ,"   May 24, 2018   ",    two    ,   18   ,   Below Avg   ,   green   ,   8EDE4C7A   
     MEENA VARMA     ,    STU-0322    ,   AB   ,   66   ,   54   ,   173   ,   57.67   ,   Pass   ,"   October 25, 2024   ",   39.6   ,   7   ,   C   ,   blue   ,   id_missing   
     SNEHA REDDY     ,     00323     ,   51   ,   -18   ,   75   ,   51+-18+75   ,   53.0   ,   Pass   ,   None   ,    two    ,   16   ,   None   ,   red   ,   95C34432   
     RAHUL VARMA     ,     S324X     ,   97   ,   49   ,   59   ,   205   ,   68.33   ,   Pass   ,   None   ,   2.0   ,   6   ,   Good   ,   black   ,   4EF261FE   
      rohit reddy      ,     id_325    ,   53   ,   -18   ,   -24   ,   218   ,   72.67%   ,   Pass   ,"   April 20, 2023   ",   4.4   ,   17   ,   B   ,   white   ,   EA77F1A8   
      divya gupta      ,   326   ,   -10   ,   ?   ,   AB   ,   -10+?+AB   ,   74.33   ,   Pass   ,   None   ,   2.2   ,   17   ,   Good   ,   red   ,   91A0EDAF   
     POOJA GUPTA     ,     00327     ,   AB   ,   79   ,   107   ,   AB+79+107   ,   81.33   ,   Pass   ,   2021-09-21   ,   7.2   ,   7   ,   None   ,   blue   ,   020C500E   
     PRASAD SHARMA     ,     id_328    ,   96   ,   78   ,   47   ,   221   ,   73.67   ,   Pass   ,"   September 19, 2021   ",   -1.7   ,   17   ,   B   ,   blue   ,   0D6864E5   
     SHIVA VARMA     ,     00329     ,   57   ,   150   ,   95   ,   232   ,   77.33   ,   Pass   ,"   March 31, 2018   ",   7.1   ,   17   ,   A    ,   white   ,   607CE43E   
     Lokesh Goud      ,     id_330    ,   138   ,   65   ,   97   ,   missing   ,   68.33%   ,   Pass   ,   19/09/2021   ,   4.5   ,   18   ,   Good   ,   green   ,   3DAA2CBE   
      meena gupta      ,     id_331    ,   46   ,   95   ,   62   ,   203   ,   67.67   ,   Pass   ,   07-18-2018   ,    0    ,   19.5   ,   B   ,   None   ,   55DC1FE6   
     DIVYA KHAN     ,     00332     ,   35   ,   63   ,   65   ,   35+63+65   ,   None   ,   Pass   ,"   June 22, 2019   ",    0    ,   None   ,   Average   ,   yellow   ,   916F79A6   
     ANITA GUPTA     ,    STU-0333    ,   92   ,   ?   ,   -24   ,   92+?+-24   ,   68.33   ,   Pass   ,   28-Oct-2018   ,   5.6   ,   None   ,   B+   ,   red   ,   B1D777B6   
     Devika Sharma      ,     00334     ,   35   ,   35   ,   57   ,   35+35+57   ,   42.33   ,   Pass   ,   25-Dec-2019   ,     2.6 hrs    ,   5   ,   D   ,   green   ,   D615A162   
     SHIVA REDDY     ,     00335     ,   138   ,   68   ,   69   ,   205   ,   133.83   ,   Pass   ,"   May 18, 2022   ",   1.9   ,   16   ,   Good   ,   black   ,   914EF4A8   
     Devika Khan      ,     id_336    ,   82   ,   71   ,   44   ,   82+71+44   ,   65.67   ,   Pass   ,   None   ,   None   ,   16   ,   B+   ,   yellow   ,   2E4D87DB   
      harika patel      ,   337   ,   35   ,   150   ,   70   ,   35+150+70   ,   absent   ,   Pass   ,"   March 09, 2018   ",   None   ,   17   ,   B   ,   green   ,   4FCEB6AA   
     ROHIT SHARMA     ,     id_338    ,   138   ,   41   ,   AB   ,   138+41+AB   ,   53.0   ,   Pass   ,   2024-11-11   ,   -6.6   ,   18   ,   Average   ,   red   ,   613FBCB3   
      shiva varma      ,       339        ,   95   ,   32   ,   31   ,   95+32+31   ,   131.83   ,   Pass   ,"   March 18, 2022   ",     3.5 hrs    ,   16   ,   C   ,   blue   ,   894A456C   
      anita goud      ,     00340     ,   98   ,   ?   ,   -24   ,   98+?+-24   ,   79.0   ,   Pass   ,   None   ,   1.1   ,   18   ,   A+   ,   black   ,   D96661D5   
      divya sharma      ,     S341X     ,   97   ,   69   ,   58   ,   224   ,   74.67   ,   Pass   ,   2019-09-12   ,   35.5   ,   18   ,   B+   ,   white   ,   FC811E5D   
     SHIVA REDDY     ,     00342     ,   56   ,   50   ,   95   ,   56+50+95   ,   67.0   ,   Pass   ,   05-04-2022   ,   5.0   ,   17   ,   B   ,   red   ,   CF5E782B   
      meena agarwal      ,    STU-0343    ,   60   ,   44   ,   80   ,   60+44+80   ,   61.33   ,   Pass   ,   09-Mar-2021   ,   3.6   ,   16   ,   B   ,   yellow   ,   CEEFA40C   
      varun rao      ,     S344X     ,   None   ,   55   ,   39   ,   None+55+39   ,   48.0   ,   Pass   ,   31/12/2019   ,     6.2 hrs    ,     17 years    ,   None   ,   yellow   ,   A76D5420   
     Sneha Agarwal      ,     id_345    ,   -10   ,   37   ,   43   ,   -10+37+43   ,   55.0   ,   Pass   ,   10/07/2019   ,   8.0   ,   None   ,   Average   ,   blue   ,   2123F4B2   
     AKASH REDDY     ,    STU-0346    ,   138   ,   71   ,   107   ,   242   ,   80.67%   ,   Pass   ,   05-07-2023   ,   31.6   ,   44   ,   A   ,   blue   ,   B7C7D1B3   
     VARUN NAIDU     ,     00347     ,   63   ,   73   ,   68   ,   63+73+68   ,   68.0   ,   Pass   ,   18/10/2022   ,   3.7   ,   18   ,   B   ,   black   ,   7425EF3B   
      anita patel      ,     id_348    ,   81   ,   43   ,   57   ,   81+43+57   ,   60.33   ,   Pass   ,   18/05/2024   ,    0    ,   16   ,   B+   ,   white   ,   8D18B6A2   
      meena naidu      ,     id_349    ,   96   ,   31   ,   32   ,   96+31+32   ,   53.0   ,   Pass   ,   2020-09-22   ,   2.4   ,   19   ,   C   ,   black   ,   90F57EAB   
      vikram patel      ,       350        ,   50   ,   66   ,   99   ,   50+66+99   ,   71.67   ,   Pass   ,   2023-05-14   ,   -1.6   ,   5   ,   B+   ,   blue   ,   E99B52D2   
     Teja Agarwal      ,       351        ,   -10   ,   98   ,   56   ,   -10+98+56   ,   78.67   ,   Pass   ,   05-21-2022   ,   0.5   ,   19   ,   A    ,   blue   ,   id_missing   
     SURESH KHAN     ,   352   ,   73   ,   67   ,   31   ,   171   ,   57.0   ,   Pass   ,   20-Jan-2022   ,    two    ,   18   ,   C   ,   yellow   ,   148CC0FC   
     SANJANA NAIDU     ,       353        ,   67   ,   70   ,   107   ,   204   ,   68.0   ,   Pass   ,"   November 05, 2023   ",   3.4   ,   17   ,   B+   ,   blue   ,   91FF9FF6   
      lokesh patel      ,     S354X     ,   57   ,   91   ,   32   ,   57+91+32   ,   60.0   ,   Pass   ,   01-07-2021   ,   4.0   ,   16.5   ,   C   ,   green   ,   0533D68E   
     Shiva Goud      ,     id_355    ,   44   ,   89   ,   45   ,   44+89+45   ,   59.33   ,   Pass   ,   06-09-2024   ,    0    ,   18   ,   Average   ,   N/A   ,   91059329   
      akash varma      ,       356        ,   68   ,   43   ,   None   ,   68+43+None   ,   None   ,   Pass   ,   11-04-2021   ,   6.2   ,     17 years    ,   C   ,   blue   ,   EED7A75E   
     Sneha Goud      ,   357   ,   86   ,   ?   ,   107   ,   86+?+107   ,   49.33   ,   Pass   ,   None   ,   1.0   ,   6   ,   Below Avg   ,   black   ,   228CAFCF   
     Lokesh Varma      ,     00358     ,   -10   ,   99   ,   70   ,   213   ,   71.0   ,   Pass   ,   2021-07-23   ,   4.5   ,   16   ,   B   ,   white   ,   id_missing   
     LOKESH KHAN     ,     S359X     ,   53   ,   46   ,   41   ,   53+46+41   ,   46.67   ,   Pass   ,"   September 19, 2022   ",   3.5   ,   18   ,   Below Avg   ,   N/A   ,   6C75383E   
     DIVYA PATEL     ,       360        ,   92   ,   57   ,   64   ,   213   ,   71.0   ,   Pass   ,   2020-06-17   ,   6.4   ,   16   ,   Good   ,   None   ,   53BA6F70   
     AKASH REDDY     ,     id_361    ,   35   ,   95   ,   94   ,   35+95+94   ,   74.67   ,   Pass   ,   None   ,   None   ,   41   ,   Good   ,   green   ,   77D43A60   
     Prasad Rao      ,     00362     ,   AB   ,   64   ,   AB   ,   AB+64+AB   ,   N/A   ,   Pass   ,   16/03/2022   ,   5.5   ,   16   ,   B+   ,   black   ,   EA2C2DA5   
     TEJA NAIDU     ,     id_363    ,   50   ,   34   ,   74   ,   300/300   ,   52.67   ,   Pass   ,"   March 19, 2018   ",   2.7   ,   19   ,   C   ,   green   ,   0132DE0C   
     Rohit Rao      ,     00364     ,   58   ,   94   ,   91   ,   N/A   ,   152.15   ,   Pass   ,   03-13-2022   ,   6.4   ,   17.5   ,   A   ,   blue   ,   B3A0B26C   
     SURESH RAO     ,     S365X     ,   36   ,   69   ,   78   ,   36+69+78   ,   None   ,   Pass   ,   26/08/2018   ,   0.4   ,   19   ,   Good   ,   red   ,   C214D35D   
     Suresh Khan      ,     id_366    ,   66   ,   85   ,   54   ,   66+85+54   ,   68.33   ,   Pass   ,   2021-03-03   ,   None   ,   18   ,   Good   ,   white   ,   B6F8B40F   
      suresh agarwal      ,       367        ,   58   ,   65   ,   AB   ,   58+65+AB   ,   139.31   ,   Pass   ,"   June 20, 2023   ",    0    ,   46   ,   C   ,   black   ,   None   
      rahul agarwal      ,       368        ,   46   ,   74   ,   53   ,   173   ,   -17.43   ,   Pass   ,   30/04/2021   ,     0.6 hrs    ,   18   ,   Average   ,   white   ,   CA7DF67B   
     ROHIT SHARMA     ,   369   ,   84   ,   52   ,   67   ,   84+52+67   ,   67.67%   ,   Pass   ,   2018-10-05   ,   None   ,   9   ,   B+   ,   green   ,   A9877A5B   
     POOJA PATEL     ,     00370     ,   69   ,   76   ,   57   ,   69+76+57   ,   144.72   ,   Pass   ,   06-08-2019   ,    0    ,   16   ,   None   ,   yellow   ,   1AD2D2E1   
     PRASAD AGARWAL     ,   371   ,   67   ,   60   ,   50   ,   67+60+50   ,   59.0%   ,   Pass   ,   None   ,   7.6   ,   61   ,   Average   ,   blue   ,   5C5A34AC   
     POOJA NAIDU     ,    STU-0372    ,   67   ,   None   ,   83   ,   190   ,   incomplete   ,   Pass   ,   03-May-2018   ,    0    ,     19 years    ,   Good   ,   red   ,   E63A4A0E   
     Prasad Naidu      ,       373        ,   95   ,   ?   ,   47   ,   95+?+47   ,   60.33   ,   Pass   ,"   June 23, 2021   ",   2.1   ,   16   ,   B+   ,   blue   ,   747A74D0   
     Rahul Sharma      ,     00374     ,   85   ,   150   ,   -24   ,   N/A   ,   82.0%   ,   Pass   ,"   October 24, 2022   ",     2.2 hrs    ,   66   ,   Distinction   ,   yellow   ,   9BF72C21   
     DEVIKA VARMA     ,     S375X     ,   AB   ,   43   ,   74   ,   AB+43+74   ,   64.67   ,   Pass   ,   30-Dec-2020   ,   2.2   ,   16.5   ,   None   ,   red   ,   8AD2F0CF   
     Harika Varma      ,   376   ,   AB   ,   39   ,   AB   ,   167   ,   55.67%   ,   Pass   ,   25/04/2019   ,   0.3   ,   17   ,   C   ,   yellow   ,   F4D92648   
      devika khan      ,     S377X     ,   99   ,   ?   ,   59   ,   99+?+59   ,   62.67   ,   Pass   ,   2022-12-03   ,    0    ,   19   ,   B   ,   blue   ,   87A2EC84   
      meena naidu      ,     S378X     ,   138   ,   None   ,   89   ,   138+None+89   ,   63.33   ,   Pass   ,   02/11/2023   ,   1.7   ,   17   ,   None   ,   green   ,   B0934DDC   
     SANJANA AGARWAL     ,     S379X     ,   74   ,   -18   ,   None   ,   74+-18+None   ,   61.33   ,   Pass   ,   01/08/2024   ,   3.4   ,   17   ,   Good   ,   blue   ,   None   
     MEENA PATEL     ,   380   ,   77   ,   37   ,   96   ,   77+37+96   ,   70.0   ,   Pass   ,   2020-03-26   ,   0.1   ,   17   ,   B   ,   blue   ,   7E52C99C   
      sanjana rao      ,    STU-0381    ,   -10   ,   72   ,   96   ,   -10+72+96   ,   82.0   ,   Pass   ,   19/03/2019   ,   -6.9   ,   17   ,   Distinction   ,   None   ,   88F29BF8   
     MEENA NAIDU     ,   382   ,   AB   ,   30   ,   AB   ,   AB+30+AB   ,   50.0   ,   Pass   ,   05-23-2018   ,   5.8   ,   16   ,   Below Avg   ,   black   ,   56800188   
     SURESH GOUD     ,     id_383    ,   47   ,   86   ,   73   ,   47+86+73   ,   68.67   ,   Pass   ,   2018-07-11   ,   7.6   ,   17   ,   B   ,   yellow   ,   id_missing   
     Suresh Varma      ,       384        ,   46   ,   93   ,   AB   ,   error   ,   69.67   ,   Pass   ,   11/11/2021   ,     6.3 hrs    ,   16   ,   B+   ,   yellow   ,   3DD4F512   
     Anita Varma      ,   385   ,   None   ,   57   ,   92   ,   None+57+92   ,   -3.87   ,   Pass   ,   13/01/2019   ,   2.5   ,   68   ,   A   ,   white   ,   35F71CDA   
      akash sharma      ,   386   ,   36   ,   66   ,   52   ,   36+66+52   ,   51.33   ,   Pass   ,   06-19-2019   ,   -2.0   ,   8   ,   C   ,   yellow   ,   6AE0596B   
      sanjana gupta      ,    STU-0387    ,   69   ,   76   ,   107   ,   69+76+107   ,   74.0   ,   Pass   ,   None   ,    0    ,   19   ,   B   ,   white   ,   8971F1D0   
     Rohit Varma      ,     id_388    ,   42   ,   66   ,   61   ,   169   ,   56.33%   ,   Pass   ,"   October 29, 2020   ",   2.9   ,   17   ,   C   ,      ,   id_missing   
     Prasad Goud      ,   389   ,   60   ,   78   ,   AB   ,   60+78+AB   ,   74.67   ,   Pass   ,   2021-11-11   ,   4.5   ,   18.5   ,   Good   ,   green   ,   86217A92   
     SHIVA AGARWAL     ,       390        ,   138   ,   73   ,   62   ,   138+73+62   ,   67.67   ,   Pass   ,   11-11-2023   ,   -0.1   ,   17   ,   B+   ,   white   ,   05224AE0   
     DIVYA GOUD     ,       391        ,   41   ,   85   ,   53   ,   179   ,   59.67   ,   Pass   ,"   June 13, 2023   ",   0.5   ,   17   ,   C   ,      ,   E7103A2C   
      anita varma      ,   392   ,   92   ,   57   ,   68   ,   217   ,   72.33   ,   Pass   ,   23/03/2021   ,    two    ,   17   ,   B+   ,   green   ,   715B695C   
     DEVIKA VARMA     ,     S393X     ,   63   ,   35   ,   63   ,   63+35+63   ,   53.67   ,   Pass   ,   02-09-2019   ,    two    ,   11   ,   C   ,   black   ,   01C35D1E   
      meena gupta      ,     S394X     ,   70   ,   None   ,   85   ,   70+None+85   ,   81.67   ,   Pass   ,   2021-03-18   ,   6.0   ,   19.5   ,   A+   ,   yellow   ,   5865BB1F   
      devika reddy      ,     id_395    ,   None   ,   49   ,   -24   ,   None+49+-24   ,   53.67   ,   Pass   ,   2020-06-07   ,   1.1   ,   None   ,   Average   ,   white   ,   20629006   
     SANJANA GUPTA     ,   None   ,   None   ,   ?   ,   66   ,   None+?+66   ,   None   ,   Pass   ,   02-26-2019   ,    0    ,   19.5   ,   C   ,   blue   ,   834C7C50   
     Suresh Reddy      ,     S397X     ,   44   ,   150   ,   36   ,   44+150+36   ,   108.2   ,   Pass   ,   2022-06-30   ,   None   ,   17   ,   Below Avg   ,   red   ,   E614BCD3   
     Kiran Agarwal      ,       398        ,   58   ,   49   ,   None   ,   check   ,   68.0   ,   Pass   ,   2019-04-17   ,   0.7   ,   5   ,   B   ,   red   ,   E172A8D3   
      devika gupta      ,     id_399    ,   98   ,   None   ,   66   ,   98+None+66   ,   119.95   ,   Pass   ,   2019-07-01   ,   3.3   ,   11   ,   B+   ,   None   ,   10B3D232   
      prasad sharma      ,     id_400    ,   138   ,   58   ,   85   ,   226   ,   75.33   ,   Pass   ,   2019-09-23   ,   1.3   ,   19.5   ,   A    ,   yellow   ,   7AC4A747   
     Rahul Khan      ,     S401X     ,   AB   ,   30   ,   94   ,   194   ,   64.67   ,   Pass   ,"   November 03, 2020   ",    two    ,   18.5   ,   Good   ,   red   ,   E8A0C435   
     DEVIKA NAIDU     ,   402   ,   58   ,   64   ,   94   ,   58+64+94   ,   72.0   ,   Pass   ,   None   ,   2.5   ,   17.5   ,   None   ,   green   ,   0000   
     PRASAD NAIDU     ,     00403     ,   57   ,   99   ,   -24   ,   missing   ,   77.33   ,   Pass   ,"   December 30, 2018   ",   2.1   ,   18   ,   Distinction   ,   black   ,   F0B02EC5   
      akash gupta      ,    STU-0404    ,   96   ,   88   ,   49   ,   96+88+49   ,   -3.03   ,   Pass   ,   12-07-2023   ,   0.7   ,   None   ,   A    ,   green   ,   E2253B54   
      kiran goud      ,     00405     ,   -10   ,   ?   ,   48   ,   error   ,   None   ,   Pass   ,   30/06/2019   ,   0.7   ,   18   ,   Good   ,   green   ,   91589E3F   
      prasad sharma      ,     00406     ,   46   ,   ?   ,   58   ,   46+?+58   ,   55.33   ,   Pass   ,   26-Sep-2019   ,   1.5   ,     17 years    ,   C   ,   green   ,   None   
     SNEHA PATEL     ,   None   ,   89   ,   80   ,   89   ,   258   ,   86.0   ,   Pass   ,   2023-04-21   ,    two    ,   18   ,   A    ,   blue   ,   C359AA4B   
      prasad sharma      ,     id_408    ,   None   ,   150   ,   107   ,   135   ,   45.0   ,   Pass   ,   08-Aug-2022   ,    0    ,   9   ,   D   ,   green   ,   7690F24A   
     Shiva Reddy      ,       409        ,   None   ,   ?   ,   64   ,   None+?+64   ,   56.67   ,   Pass   ,   20/08/2020   ,     2.3 hrs    ,   17.5   ,   C   ,   white   ,   DE6E2FA4   
      vikram gupta      ,     S410X     ,   64   ,   150   ,   72   ,   64+150+72   ,   72.67%   ,   Pass   ,   01-Jun-2020   ,     2.2 hrs    ,   18   ,   Good   ,   multi   ,   F53ACFF4   
      shiva goud      ,    STU-0411    ,   51   ,   72   ,   40   ,   51+72+40   ,   None   ,   Pass   ,"   May 20, 2020   ",   2.7   ,     17 years    ,   Average   ,   blue   ,   8641482F   
     Sneha Varma      ,     S412X     ,   -10   ,   79   ,   78   ,   -10+79+78   ,   84.33   ,   Pass   ,   2019-05-31   ,   5.3   ,   19   ,   A   ,   blue   ,   6057E5F2   
     Anita Agarwal      ,   413   ,   47   ,   58   ,   AB   ,   missing   ,   57.33   ,   Pass   ,   21-Nov-2021   ,   None   ,   19   ,   C   ,   black   ,   D468F9EA   
     Varun Khan      ,    STU-0414    ,   93   ,   86   ,   107   ,   93+86+107   ,   90.67   ,   Pass   ,   15-May-2020   ,   6.1   ,   19   ,   A   ,   yellow   ,   94730376   
     DIVYA KHAN     ,       415        ,   53   ,   68   ,   98   ,   53+68+98   ,   73.0   ,   Pass   ,   24-Nov-2023   ,   5.8   ,   18   ,   B+   ,   red   ,   5FA01D19   
      pooja agarwal      ,       416        ,   83   ,   85   ,   AB   ,   205   ,   68.33   ,   Pass   ,   None   ,   34.1   ,   16   ,   Good   ,   red   ,   DEB6681A   
     HARIKA NAIDU     ,     S417X     ,   46   ,   150   ,   63   ,   46+150+63   ,   60.33   ,   Pass   ,   02-Aug-2018   ,   5.6   ,   16   ,   Good   ,   green   ,   12D8526C   
      lokesh goud      ,       418        ,   138   ,   79   ,   77   ,   138+79+77   ,   130.18%   ,   Pass   ,   23-Feb-2024   ,     4.4 hrs    ,   18   ,   A   ,   black   ,   7794C515   
     SHIVA PATEL     ,       419        ,   138   ,   52   ,   85   ,   138+52+85   ,   63.33   ,   Pass   ,"   January 19, 2018   ",     1.7 hrs    ,   None   ,   B   ,   green   ,   2A843B1A   
     DEVIKA KHAN     ,     00420     ,   138   ,   73   ,   94   ,   138+73+94   ,   70.0   ,   Pass   ,   04/10/2019   ,   None   ,   44   ,   B   ,   red   ,   24E3E8FD   
     Divya Reddy      ,   421   ,   62   ,   67   ,   60   ,   62+67+60   ,   63.0   ,   Pass   ,   2021-01-09   ,   29.4   ,   16   ,   Good   ,   blue   ,   None   
